,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 60,60-64,65-69,70-74,75-79,80+
,E12000008,South East,E06000036,Bracknell Forest," 12,096 "," 3,679 "," 5,118 "," 4,745 "," 3,399 "," 4,610 "
,E12000008,South East,E06000043,Brighton and Hove," 35,083 "," 9,020 "," 9,784 "," 9,634 "," 6,792 "," 10,051 "
,E12000008,South East,E06000060,Buckinghamshire," 59,556 "," 20,981 "," 24,734 "," 25,979 "," 19,840 "," 28,275 "
,E12000008,South East,E07000106,Canterbury," 17,641 "," 5,864 "," 7,850 "," 9,090 "," 6,721 "," 9,159 "
,E12000008,South East,E07000177,Cherwell," 18,152 "," 5,257 "," 6,666 "," 7,329 "," 5,268 "," 7,439 "
,E12000008,South East,E07000225,Chichester," 15,743 "," 7,686 "," 7,530 "," 8,456 "," 6,775 "," 9,666 "
,E12000008,South East,E07000226,Crawley," 15,199 "," 3,933 "," 4,213 "," 3,983 "," 2,544 "," 4,065 "
,E12000008,South East,E07000107,Dartford," 13,963 "," 4,022 "," 3,859 "," 4,027 "," 2,857 "," 4,265 "
,E12000008,South East,E07000108,Dover," 16,249 "," 5,948 "," 6,789 "," 7,226 "," 5,434 "," 6,867 "
,E12000008,South East,E07000085,East Hampshire," 13,504 "," 6,066 "," 6,882 "," 7,470 "," 5,725 "," 7,911 "
,E12000008,South East,E07000061,Eastbourne," 19,322 "," 5,398 "," 5,234 "," 6,175 "," 4,647 "," 7,299 "
,E12000008,South East,E07000086,Eastleigh," 16,157 "," 5,059 "," 6,443 "," 6,799 "," 4,962 "," 7,172 "
,E12000008,South East,E07000207,Elmbridge," 14,522 "," 5,552 "," 5,782 "," 6,038 "," 4,585 "," 7,309 "
,E12000008,South East,E07000208,Epsom and Ewell," 10,378 "," 3,347 "," 3,372 "," 3,804 "," 2,783 "," 4,027 "
,E12000008,South East,E07000087,Fareham," 13,635 "," 5,676 "," 6,151 "," 7,163 "," 5,623 "," 8,042 "
,E12000008,South East,E07000112,Folkestone and Hythe," 15,685 "," 5,746 "," 6,330 "," 7,389 "," 5,305 "," 6,930 "
,E12000008,South East,E07000088,Gosport," 10,431 "," 3,450 "," 4,270 "," 4,667 "," 3,358 "," 4,623 "
,E12000008,South East,E07000109,Gravesham," 15,234 "," 4,676 "," 4,492 "," 4,671 "," 3,474 "," 4,951 "
,E12000008,South East,E07000209,Guildford," 16,233 "," 4,791 "," 6,091 "," 6,404 "," 4,726 "," 7,108 "
,E12000008,South East,E07000089,Hart," 9,498 "," 3,759 "," 4,456 "," 5,096 "," 4,035 "," 5,466 "
,E12000008,South East,E07000062,Hastings," 11,495 "," 3,776 "," 4,069 "," 4,725 "," 3,267 "," 4,178 "
,E12000008,South East,E07000090,Havant," 15,571 "," 6,638 "," 7,092 "," 7,624 "," 5,900 "," 8,504 "
,E12000008,South East,E07000227,Horsham," 18,748 "," 8,202 "," 7,858 "," 8,630 "," 6,568 "," 9,279 "
,E12000008,South East,E06000046,Isle of Wight," 20,665 "," 8,665 "," 9,437 "," 10,743 "," 8,421 "," 10,325 "
,E12000008,South East,E07000063,Lewes," 12,975 "," 4,954 "," 5,924 "," 6,641 "," 5,073 "," 7,411 "
,E12000008,South East,E07000110,Maidstone," 22,427 "," 7,067 "," 7,872 "," 8,841 "," 6,458 "," 8,747 "
,E12000008,South East,E06000035,Medway," 30,903 "," 9,746 "," 11,181 "," 12,220 "," 8,569 "," 10,682 "
,E12000008,South East,E07000228,Mid Sussex," 18,143 "," 5,719 "," 7,250 "," 7,905 "," 6,223 "," 8,772 "
,E12000008,South East,E06000042,Milton Keynes," 28,868 "," 7,889 "," 10,856 "," 10,683 "," 6,931 "," 8,540 "
,E12000008,South East,E07000210,Mole Valley," 10,273 "," 4,537 "," 4,875 "," 4,966 "," 4,055 "," 6,097 "
,E12000008,South East,E07000091,New Forest," 20,584 "," 7,936 "," 11,041 "," 13,116 "," 10,163 "," 15,199 "
,E12000008,South East,E07000178,Oxford," 19,846 "," 4,164 "," 4,516 "," 4,558 "," 3,383 "," 5,057 "
,E12000008,South East,E06000044,Portsmouth," 26,646 "," 7,950 "," 7,790 "," 7,774 "," 5,720 "," 8,089 "
,E12000008,South East,E06000038,Reading," 16,908 "," 4,060 "," 4,948 "," 4,996 "," 3,789 "," 5,602 "
,E12000008,South East,E07000211,Reigate and Banstead," 18,925 "," 6,334 "," 6,323 "," 6,810 "," 4,940 "," 7,542 "
,E12000008,South East,E07000064,Rother," 11,924 "," 5,421 "," 6,020 "," 7,978 "," 6,081 "," 8,544 "
,E12000008,South East,E07000212,Runnymede," 9,374 "," 3,399 "," 3,528 "," 3,681 "," 2,881 "," 4,459 "
,E12000008,South East,E07000092,Rushmoor," 12,348 "," 2,624 "," 3,781 "," 4,038 "," 2,952 "," 3,712 "
,E12000008,South East,E07000111,Sevenoaks," 11,616 "," 5,107 "," 5,914 "," 6,615 "," 5,037 "," 7,152 "
,E12000008,South East,E06000039,Slough," 15,873 "," 3,336 "," 4,356 "," 3,459 "," 2,262 "," 3,598 "
,E12000008,South East,E07000179,South Oxfordshire," 15,695 "," 5,733 "," 6,931 "," 7,652 "," 6,195 "," 8,541 "
,E12000008,South East,E06000045,Southampton," 30,319 "," 6,601 "," 8,382 "," 8,529 "," 6,374 "," 8,655 "
,E12000008,South East,E07000213,Spelthorne," 9,866 "," 3,724 "," 4,213 "," 4,466 "," 3,536 "," 5,444 "
,E12000008,South East,E07000214,Surrey Heath," 9,834 "," 4,378 "," 4,211 "," 4,445 "," 3,502 "," 5,109 "
,E12000008,South East,E07000113,Swale," 15,653 "," 4,657 "," 6,699 "," 7,953 "," 5,657 "," 6,799 "
