,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 55,55-59,60-64,65-69,70-74,75-79,80+
,E12000001,North East,E06000057,Northumberland," 30,766 "," 10,236 "," 13,730 "," 20,498 "," 22,298 "," 15,519 "," 19,784 "
,E12000001,North East,E06000003,Redcar and Cleveland," 13,914 "," 4,615 "," 5,284 "," 6,427 "," 8,351 "," 6,170 "," 8,030 "
,E12000001,North East,E08000023,South Tyneside," 17,905 "," 5,743 "," 7,680 "," 8,279 "," 8,100 "," 5,416 "," 7,902 "
,E12000001,North East,E06000004,Stockton-on-Tees," 21,769 "," 6,177 "," 8,466 "," 9,928 "," 9,914 "," 6,700 "," 8,955 "
,E12000001,North East,E08000024,Sunderland," 30,976 "," 9,760 "," 11,770 "," 15,203 "," 15,027 "," 10,060 "," 14,155 "
,E12000002,North West,E07000026,Allerdale," 10,021 "," 3,404 "," 5,150 "," 6,040 "," 6,564 "," 4,497 "," 6,181 "
,E12000002,North West,E07000027,Barrow-in-Furness," 7,929 "," 2,412 "," 3,093 "," 3,657 "," 3,953 "," 2,912 "," 3,606 "
,E12000002,North West,E06000008,Blackburn with Darwen," 15,675 "," 4,524 "," 6,647 "," 5,940 "," 5,788 "," 3,865 "," 5,169 "
,E12000002,North West,E06000009,Blackpool," 21,188 "," 7,759 "," 8,207 "," 7,049 "," 7,443 "," 5,587 "," 7,515 "
,E12000002,North West,E08000001,Bolton," 35,135 "," 12,648 "," 13,443 "," 12,729 "," 13,463 "," 9,691 "," 12,103 "
,E12000002,North West,E07000117,Burnley," 7,856 "," 2,561 "," 4,284 "," 4,072 "," 4,509 "," 3,135 "," 3,791 "
,E12000002,North West,E08000002,Bury," 23,893 "," 8,898 "," 9,672 "," 8,748 "," 9,538 "," 6,769 "," 8,721 "
,E12000002,North West,E07000028,Carlisle," 11,607 "," 3,500 "," 5,255 "," 6,045 "," 6,268 "," 4,354 "," 6,201 "
,E12000002,North West,E06000049,Cheshire East," 42,425 "," 14,787 "," 21,404 "," 20,922 "," 23,542 "," 17,620 "," 23,797 "
,E12000002,North West,E06000050,Cheshire West and Chester," 37,255 "," 11,914 "," 17,331 "," 18,081 "," 19,850 "," 14,572 "," 19,722 "
,E12000002,North West,E07000118,Chorley," 13,986 "," 4,846 "," 5,997 "," 5,945 "," 6,691 "," 4,784 "," 5,622 "
,E12000002,North West,E07000029,Copeland," 5,900 "," 2,222 "," 3,030 "," 3,983 "," 4,209 "," 2,964 "," 3,763 "
,E12000002,North West,E07000030,Eden," 3,373 "," 1,193 "," 2,236 "," 3,596 "," 3,827 "," 2,720 "," 3,675 "
,E12000002,North West,E07000119,Fylde," 8,614 "," 3,775 "," 5,286 "," 5,147 "," 5,800 "," 4,554 "," 6,246 "
,E12000002,North West,E06000006,Halton," 15,450 "," 4,272 "," 6,583 "," 6,703 "," 6,796 "," 4,147 "," 5,111 "
,E12000002,North West,E07000120,Hyndburn," 6,971 "," 2,367 "," 3,885 "," 3,653 "," 3,989 "," 2,880 "," 3,492 "
,E12000002,North West,E08000011,Knowsley," 20,339 "," 6,525 "," 8,550 "," 7,637 "," 6,585 "," 4,257 "," 6,362 "
