,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 70,70-74,75-79,80+
,E12000005,West Midlands,E07000198,Staffordshire Moorlands," 14,303 "," 6,761 "," 5,116 "," 6,347 "
,E12000005,West Midlands,E06000021,Stoke-on-Trent," 35,800 "," 11,336 "," 8,466 "," 10,976 "
,E12000005,West Midlands,E07000221,Stratford-on-Avon," 21,265 "," 8,660 "," 7,024 "," 9,245 "
,E12000005,West Midlands,E07000199,Tamworth," 10,354 "," 4,036 "," 2,914 "," 3,226 "
,E12000005,West Midlands,E06000020,Telford and Wrekin," 26,236 "," 8,559 "," 6,295 "," 7,499 "
,E12000005,West Midlands,E08000030,Walsall," 37,915 "," 11,777 "," 9,477 "," 13,614 "
,E12000005,West Midlands,E07000222,Warwick," 22,775 "," 6,892 "," 5,489 "," 7,595 "
,E12000005,West Midlands,E08000031,Wolverhampton," 33,485 "," 9,915 "," 7,644 "," 11,733 "
,E12000005,West Midlands,E07000237,Worcester," 18,875 "," 4,611 "," 3,399 "," 4,629 "
,E12000005,West Midlands,E07000238,Wychavon," 21,373 "," 8,673 "," 6,557 "," 8,642 "
,E12000005,West Midlands,E07000239,Wyre Forest," 15,791 "," 6,964 "," 5,497 "," 6,410 "
,E12000003,Yorkshire and The Humber,E08000016,Barnsley," 31,178 "," 12,369 "," 9,204 "," 11,197 "
,E12000003,Yorkshire and The Humber,E08000032,Bradford," 67,529 "," 20,390 "," 13,407 "," 20,568 "
,E12000003,Yorkshire and The Humber,E08000033,Calderdale," 28,996 "," 10,338 "," 7,329 "," 9,255 "
,E12000003,Yorkshire and The Humber,E07000163,Craven," 8,126 "," 3,966 "," 3,073 "," 4,076 "
,E12000003,Yorkshire and The Humber,E08000017,Doncaster," 40,863 "," 15,585 "," 11,199 "," 15,172 "
,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire," 49,587 "," 24,184 "," 17,385 "," 23,486 "
,E12000003,Yorkshire and The Humber,E07000164,Hambleton," 12,679 "," 6,409 "," 4,817 "," 6,587 "
,E12000003,Yorkshire and The Humber,E07000165,Harrogate," 21,057 "," 9,829 "," 7,216 "," 10,651 "
,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of"," 34,862 "," 10,644 "," 6,770 "," 9,648 "
,E12000003,Yorkshire and The Humber,E08000034,Kirklees," 60,562 "," 20,017 "," 14,241 "," 18,454 "
,E12000003,Yorkshire and The Humber,E08000035,Leeds," 109,492 "," 32,384 "," 22,977 "," 33,591 "
,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire," 22,198 "," 8,394 "," 6,017 "," 8,709 "
,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire," 26,783 "," 9,705 "," 7,066 "," 9,303 "
,E12000003,Yorkshire and The Humber,E07000166,Richmondshire," 4,728 "," 3,044 "," 2,189 "," 2,878 "
,E12000003,Yorkshire and The Humber,E08000018,Rotherham," 38,311 "," 13,529 "," 10,199 "," 12,824 "
,E12000003,Yorkshire and The Humber,E07000167,Ryedale," 8,155 "," 3,928 "," 2,963 "," 4,000 "
,E12000003,Yorkshire and The Humber,E07000168,Scarborough," 17,149 "," 7,851 "," 5,714 "," 7,702 "
,E12000003,Yorkshire and The Humber,E07000169,Selby," 12,600 "," 5,257 "," 3,651 "," 4,398 "
,E12000003,Yorkshire and The Humber,E08000019,Sheffield," 71,610 "," 23,131 "," 18,066 "," 25,502 "
,E12000003,Yorkshire and The Humber,E08000036,Wakefield," 48,973 "," 17,590 "," 12,818 "," 15,980 "
,E12000003,Yorkshire and The Humber,E06000014,York," 29,265 "," 10,041 "," 7,228 "," 10,752 "
