MSOA11CD,STP21CD
E02000928,E54000031
E02000929,E54000031
E02000930,E54000031
E02000931,E54000031
E02000932,E54000031
E02000933,E54000031
E02000934,E54000031
E02000935,E54000031
E02000936,E54000031
E02000937,E54000031
E02000938,E54000031
E02000939,E54000031
E02000940,E54000031
E02000941,E54000031
E02000942,E54000031
E02000943,E54000031
E02000944,E54000031
E02000945,E54000031
E02000946,E54000031
E02000947,E54000031
E02000948,E54000031
E02000949,E54000031
E02000950,E54000031
E02000951,E54000031
E02000952,E54000031
E02000953,E54000031
E02000954,E54000031
E02000955,E54000031
E02000956,E54000031
E02000957,E54000031
E02000958,E54000031
E02000959,E54000031
E02000960,E54000027
E02000961,E54000027
E02000962,E54000027
E02000963,E54000027
E02000964,E54000027
E02000965,E54000027
E02000966,E54000027
E02000967,E54000027
E02000968,E54000027
E02000969,E54000027
E02000970,E54000027
E02000971,E54000027
E02000972,E54000027
E02000973,E54000027
E02000974,E54000027
E02000975,E54000027
E02000976,E54000027
E02000977,E54000027
E02000978,E54000027
E02000979,E54000027
E02000980,E54000027
E02000981,E54000027
E02000982,E54000027
E02000983,E54000027
E02000984,E54000007
E02000985,E54000007
E02000986,E54000007
E02000987,E54000007
E02000988,E54000007
E02000989,E54000007
E02000990,E54000007
E02000991,E54000007
E02000992,E54000007
E02000993,E54000007
E02000994,E54000007
E02000995,E54000007
E02000996,E54000007
E02000997,E54000007
E02000998,E54000007
E02000999,E54000007
E02001000,E54000007
E02001001,E54000007
E02001002,E54000007
E02001003,E54000007
E02001004,E54000007
E02001005,E54000007
E02001006,E54000007
E02001007,E54000007
E02001008,E54000007
E02001009,E54000007
E02001010,E54000007
E02001011,E54000007
E02001012,E54000007
E02001013,E54000007
E02001014,E54000007
E02001015,E54000007
E02001016,E54000007
E02001017,E54000007
E02001018,E54000007
E02001019,E54000007
E02001020,E54000007
E02001021,E54000007
E02001022,E54000007
E02001023,E54000007
E02001024,E54000007
E02001025,E54000007
E02001026,E54000007
E02001027,E54000007
E02001028,E54000007
E02001029,E54000007
E02001030,E54000007
E02001031,E54000007
E02001032,E54000007
E02001033,E54000007
E02001034,E54000007
E02001035,E54000007
E02001036,E54000007
E02001037,E54000007
E02001038,E54000007
E02001039,E54000007
E02001040,E54000007
E02001041,E54000007
E02001042,E54000007
E02001043,E54000007
E02001044,E54000007
E02001045,E54000007
E02001046,E54000007
E02001047,E54000007
E02001048,E54000007
E02001049,E54000007
E02001050,E54000007
E02001051,E54000007
E02001052,E54000007
E02001053,E54000007
E02001055,E54000007
E02001056,E54000007
E02001057,E54000007
E02001059,E54000007
E02001061,E54000007
E02001062,E54000007
E02001063,E54000007
E02001064,E54000007
E02001065,E54000007
E02001066,E54000007
E02001067,E54000007
E02001068,E54000007
E02001069,E54000007
E02001070,E54000007
E02001071,E54000007
E02001072,E54000007
E02001073,E54000007
E02001074,E54000007
E02001075,E54000007
E02001076,E54000007
E02001077,E54000007
E02001078,E54000007
E02001079,E54000007
E02001080,E54000007
E02001081,E54000007
E02001082,E54000007
E02001083,E54000007
E02001084,E54000007
E02001085,E54000007
E02001086,E54000007
E02001087,E54000007
E02001088,E54000007
E02001089,E54000007
E02001090,E54000007
E02001091,E54000007
E02001092,E54000007
E02001093,E54000007
E02001094,E54000007
E02001095,E54000007
E02001096,E54000007
E02001097,E54000007
E02001098,E54000007
E02001099,E54000007
E02001100,E54000007
E02001101,E54000007
E02001102,E54000007
E02001103,E54000007
E02001104,E54000007
E02001105,E54000007
E02001106,E54000007
E02001107,E54000007
E02001108,E54000007
E02001109,E54000007
E02001110,E54000007
E02001111,E54000007
E02001112,E54000007
E02001113,E54000007
E02001114,E54000007
E02001115,E54000007
E02001116,E54000007
E02001117,E54000007
E02001118,E54000007
E02001119,E54000007
E02001121,E54000007
E02001123,E54000007
E02001124,E54000007
E02001125,E54000007
E02001126,E54000007
E02001127,E54000007
E02001128,E54000007
E02001129,E54000007
E02001130,E54000007
E02001131,E54000007
E02001132,E54000007
E02001133,E54000007
E02001134,E54000007
E02001135,E54000007
E02001136,E54000007
E02001137,E54000007
E02001138,E54000007
E02001139,E54000007
E02001140,E54000007
E02001141,E54000007
E02001142,E54000007
E02001143,E54000007
E02001144,E54000007
E02001145,E54000007
E02001146,E54000007
E02001147,E54000007
E02001148,E54000007
E02001149,E54000007
E02001150,E54000007
E02001151,E54000007
E02001152,E54000007
E02001153,E54000007
E02001154,E54000007
E02001155,E54000007
E02001156,E54000007
E02001157,E54000007
E02001158,E54000007
E02001159,E54000007
E02001160,E54000007
E02001161,E54000007
E02001162,E54000007
E02001163,E54000007
E02001164,E54000007
E02001165,E54000007
E02001166,E54000007
E02001167,E54000007
E02001168,E54000007
E02001169,E54000007
E02001170,E54000007
E02001171,E54000007
E02001172,E54000007
E02001173,E54000007
E02001174,E54000007
E02001175,E54000007
E02001176,E54000007
E02001177,E54000007
E02001178,E54000007
E02001179,E54000007
E02001180,E54000007
